"Time";"Region";"AgeGroup";"Symptomatic";"Hospitalized";"R"
2020-03-10;"Auvergne-Rhone-Alpes";"0-4";26;0;1,5
2020-03-11;"Auvergne-Rhone-Alpes";"0-4";31;0;1,5
2020-03-12;"Auvergne-Rhone-Alpes";"0-4";37;0;1,5
2020-03-13;"Auvergne-Rhone-Alpes";"0-4";44;0;1,5
2020-03-14;"Auvergne-Rhone-Alpes";"0-4";52;0;1,5
2020-03-15;"Auvergne-Rhone-Alpes";"0-4";61;0;1,5
2020-03-16;"Auvergne-Rhone-Alpes";"0-4";73;0;1,5
2020-03-17;"Auvergne-Rhone-Alpes";"0-4";86;0;1,5
2020-03-18;"Auvergne-Rhone-Alpes";"0-4";102;0;1,5
2020-03-19;"Auvergne-Rhone-Alpes";"0-4";120;0;1,5
2020-03-20;"Auvergne-Rhone-Alpes";"0-4";142;0;1,5
2020-03-21;"Auvergne-Rhone-Alpes";"0-4";168;0;1,5
2020-03-22;"Auvergne-Rhone-Alpes";"0-4";198;0;1,5
2020-03-23;"Auvergne-Rhone-Alpes";"0-4";234;0;1,5
2020-03-24;"Auvergne-Rhone-Alpes";"0-4";276;0;1,5
2020-03-25;"Auvergne-Rhone-Alpes";"0-4";314;0;1,5
2020-03-26;"Auvergne-Rhone-Alpes";"0-4";319;0;1,5
2020-03-27;"Auvergne-Rhone-Alpes";"0-4";299;0;1,5
2020-03-28;"Auvergne-Rhone-Alpes";"0-4";267;0;1,5
2020-03-29;"Auvergne-Rhone-Alpes";"0-4";235;0;1,5
2020-03-30;"Auvergne-Rhone-Alpes";"0-4";208;0;1,5
2020-03-31;"Auvergne-Rhone-Alpes";"0-4";186;0;1,5
2020-04-01;"Auvergne-Rhone-Alpes";"0-4";169;0;1,5
2020-04-02;"Auvergne-Rhone-Alpes";"0-4";156;0;1,5
2020-04-03;"Auvergne-Rhone-Alpes";"0-4";146;0;1,5
2020-04-04;"Auvergne-Rhone-Alpes";"0-4";138;0;1,5
2020-04-05;"Auvergne-Rhone-Alpes";"0-4";131;0;1,5
2020-04-06;"Auvergne-Rhone-Alpes";"0-4";125;0;1,5
2020-04-07;"Auvergne-Rhone-Alpes";"0-4";119;0;1,5
2020-04-08;"Auvergne-Rhone-Alpes";"0-4";114;0;1,5
2020-04-09;"Auvergne-Rhone-Alpes";"0-4";110;0;1,5
2020-04-10;"Auvergne-Rhone-Alpes";"0-4";105;0;1,5
2020-04-11;"Auvergne-Rhone-Alpes";"0-4";101;0;1,5
2020-04-12;"Auvergne-Rhone-Alpes";"0-4";96;0;1,5
2020-04-13;"Auvergne-Rhone-Alpes";"0-4";92;0;1,5
2020-04-14;"Auvergne-Rhone-Alpes";"0-4";88;0;1,5
2020-04-15;"Auvergne-Rhone-Alpes";"0-4";84;0;1,5
2020-04-16;"Auvergne-Rhone-Alpes";"0-4";81;0;1,5
2020-04-17;"Auvergne-Rhone-Alpes";"0-4";77;0;1,5
2020-04-18;"Auvergne-Rhone-Alpes";"0-4";74;0;1,5
2020-04-19;"Auvergne-Rhone-Alpes";"0-4";71;0;1,5
2020-04-20;"Auvergne-Rhone-Alpes";"0-4";68;0;1,5
2020-04-21;"Auvergne-Rhone-Alpes";"0-4";65;0;1,5
2020-04-22;"Auvergne-Rhone-Alpes";"0-4";62;0;1,5
2020-04-23;"Auvergne-Rhone-Alpes";"0-4";59;0;1,5
2020-04-24;"Auvergne-Rhone-Alpes";"0-4";57;0;1,5
2020-04-25;"Auvergne-Rhone-Alpes";"0-4";54;0;1,5
2020-04-26;"Auvergne-Rhone-Alpes";"0-4";52;0;1,5
2020-04-27;"Auvergne-Rhone-Alpes";"0-4";50;0;1,5
2020-04-28;"Auvergne-Rhone-Alpes";"0-4";48;0;1,5
2020-04-29;"Auvergne-Rhone-Alpes";"0-4";46;0;1,5
2020-04-30;"Auvergne-Rhone-Alpes";"0-4";44;0;1,5
2020-05-01;"Auvergne-Rhone-Alpes";"0-4";42;0;1,5
2020-05-02;"Auvergne-Rhone-Alpes";"0-4";40;0;1,5
2020-05-03;"Auvergne-Rhone-Alpes";"0-4";38;0;1,5
2020-05-04;"Auvergne-Rhone-Alpes";"0-4";37;0;1,5
2020-05-05;"Auvergne-Rhone-Alpes";"0-4";35;0;1,5
2020-05-06;"Auvergne-Rhone-Alpes";"0-4";33;0;1,5
2020-05-07;"Auvergne-Rhone-Alpes";"0-4";32;0;1,5
2020-05-08;"Auvergne-Rhone-Alpes";"0-4";31;0;1,5
2020-05-09;"Auvergne-Rhone-Alpes";"0-4";29;0;1,5
2020-05-10;"Auvergne-Rhone-Alpes";"0-4";28;0;1,5
2020-05-11;"Auvergne-Rhone-Alpes";"0-4";27;0;1,5
2020-05-12;"Auvergne-Rhone-Alpes";"0-4";26;0;1,5
2020-05-13;"Auvergne-Rhone-Alpes";"0-4";25;0;1,5
2020-05-14;"Auvergne-Rhone-Alpes";"0-4";24;0;1,5
2020-05-15;"Auvergne-Rhone-Alpes";"0-4";23;0;1,5
2020-05-16;"Auvergne-Rhone-Alpes";"0-4";22;0;1,5
2020-05-17;"Auvergne-Rhone-Alpes";"0-4";21;0;1,5
2020-05-18;"Auvergne-Rhone-Alpes";"0-4";20;0;1,5
2020-05-19;"Auvergne-Rhone-Alpes";"0-4";19;0;1,5
2020-05-20;"Auvergne-Rhone-Alpes";"0-4";18;0;1,5
2020-05-21;"Auvergne-Rhone-Alpes";"0-4";17;0;1,5
