Date;RegionCode;AgeGroup;risk_hh;risk_familprol;risk_travail;Region;Population
2020-03-10;11;17-19;0.0012317919072474613;1.1345184474266304e-5;0.0012818740180894177;Ile-de-France;385244
2020-03-10;11;20-24;6.03812911988279e-4;5.936397175291293e-6;6.236767259691836e-4;Ile-de-France;789803
2020-03-10;11;25-29;3.292710380569353e-4;5.037035022328294e-6;6.703590104215376e-4;Ile-de-France;874883
2020-03-10;11;30-34;3.9453618995417226e-4;5.427156010084108e-6;7.688104459694612e-4;Ile-de-France;894209
2020-03-10;11;35-39;5.479354664448162e-4;4.427504213857448e-6;7.51281109483478e-4;Ile-de-France;868592
2020-03-10;11;40-44;6.38525862937017e-4;4.2696814427827145e-6;6.691315561402649e-4;Ile-de-France;823821
2020-03-10;11;45-49;7.037960698478394e-4;5.560269611559312e-6;6.529125402726461e-4;Ile-de-France;842591
2020-03-10;11;50-54;6.458522591105734e-4;8.399821530686077e-6;5.69953850462301e-4;Ile-de-France;786801
2020-03-10;11;55-59;4.329815704258226e-4;8.579220984453313e-6;5.395283116334259e-4;Ile-de-France;748429
2020-03-10;11;60-64;2.9422338227028046e-4;6.084975862725313e-6;4.756242136241662e-4;Ile-de-France;630353
2020-03-10;24;17-19;1.8208258021944836e-4;4.894341945195863e-7;8.280548518890072e-5;Centre-Val-de-Loire;77311.5
2020-03-10;24;20-24;9.950592100263884e-5;1.2897992956632687e-6;1.8477647762281084e-4;Centre-Val-de-Loire;124772
2020-03-10;24;25-29;7.355676753960228e-5;1.4780670809470632e-6;1.2651644489989648e-4;Centre-Val-de-Loire;125890
2020-03-10;24;30-34;7.93429837951509e-5;5.517450237748819e-7;4.855684390946008e-5;Centre-Val-de-Loire;142827
2020-03-10;24;35-39;9.6448632819144e-5;4.559079421404526e-7;4.8182700171671165e-5;Centre-Val-de-Loire;151291
2020-03-10;24;40-44;1.0344670832865455e-4;8.248047779417775e-7;7.49799478790102e-5;Centre-Val-de-Loire;147587
